2024-06-04 06:06:32 status unpacked libavcodec58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:32 upgrade libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:32 status half-configured libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:32 status unpacked libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:32 status half-installed libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:32 status unpacked libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:33 upgrade libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:33 status half-configured libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:33 status unpacked libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:33 status half-installed libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:33 status unpacked libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:34 upgrade libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:34 status half-configured libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:34 status unpacked libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:34 status half-installed libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:34 status unpacked libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:35 upgrade libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:35 status half-configured libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:35 status unpacked libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:35 status half-installed libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:39 status unpacked libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:39 upgrade libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:39 status half-configured libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:39 status unpacked libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:39 status half-installed libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:40 status unpacked libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:40 upgrade libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:40 status half-configured libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:40 status unpacked libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:40 status half-installed libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:41 status unpacked libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 startup packages configure
2024-06-04 06:06:41 configure libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:41 status unpacked libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 status half-configured libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 status installed libavutil56:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 configure libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:41 status unpacked libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 status half-configured libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 status installed libswscale5:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 configure libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:41 status unpacked libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 status half-configured libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 status installed libavutil-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:41 configure libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:41 status unpacked libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 status half-configured libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 status installed libswresample3:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 configure libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:42 status unpacked libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 status half-configured libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 status installed libswscale-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 configure libavcodec58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:42 status unpacked libavcodec58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:42 status half-configured libavcodec58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:43 status installed libavcodec58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:43 configure libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:43 status unpacked libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:43 status half-configured libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:43 status installed libswresample-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:43 configure libavformat58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:43 status unpacked libavformat58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:44 status half-configured libavformat58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:44 status installed libavformat58:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:44 configure libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:44 status unpacked libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
